record_id,db_source,author,year,title,doi,reviewer1,reviewer2,reviewer3,exclusion_reason
1193,Scopus,Patel S.,2014,Blueberry as functional food and dietary supplement: The natural way to ensure holistic health,10.3233/mnm-140013,exclude,exclude,exclude,Review or non-original article
1194,Scopus,Rubio-Ruiz M.E.,2013,Medicinal agents and metabolic syndrome,10.2174/0929867311320210002,exclude,exclude,exclude,Review or non-original article
1195,Scopus,Cessak G.,2014,"TNF inhibitors - Mechanisms of action, approved and off-label indications",10.1016/j.pharep.2014.05.004,exclude,exclude,exclude,Review or non-original article
1196,Scopus,Gentile D.,2021,Natural substances in the fight of sars-cov-2: A critical evaluation resulting from the cross-fertilization of molecular modeling data with the pharmacological aspects,10.2174/0929867328666210614114032,exclude,exclude,exclude,Review or non-original article
1197,Scopus,Hou D.,2019,"Mung bean (Vigna radiata L.): Bioactive polyphenols, polysaccharides, peptides, and health benefits",10.3390/nu11061238,exclude,exclude,exclude,Review or non-original article
1198,Scopus,Sodagari H.R.,2015,Dietary anthocyanins as a complementary medicinal approach for management of inflammatory bowel disease,10.1586/17474124.2015.1002086,exclude,exclude,exclude,Review or non-original article
1199,Scopus,Aquino A.M.,2021,Development and characterization of cassava starch films incorporated with purple yam (Dioscorea alata L.) peel anthocyanins,10.26656/fr.2017.5(1).327,exclude,exclude,exclude,Review or non-original article
1200,Scopus,Williamson G.,2017,The role of polyphenols in modern nutrition,10.1111/nbu.12278,exclude,exclude,exclude,Review or non-original article
1201,Scopus,Blade C.,2014,microRNAs as new targets of dietary polyphenols,10.2174/1389201015666140711113553,exclude,exclude,exclude,Review or non-original article
1202,Scopus,Khurana S.,2013,Oxidative stress and cardiovascular health: Therapeutic potential of polyphenols,10.1139/cjpp-2012-0252,exclude,exclude,exclude,Review or non-original article
1203,Scopus,Jia Q.,2019,Endocrine organs of cardiovascular diseases: Gut microbiota,10.1111/jcmm.14164,exclude,exclude,exclude,Review or non-original article
1204,Scopus,Obode O.C.,2020,A systematic review of medicinal plants used in nigeria for hypertension management,10.31838/ijpr/2020.12.04.142,exclude,exclude,exclude,Review or non-original article
1205,Scopus,Jakab J.,2021,Adipogenesis as a potential anti-obesity target: A review of pharmacological treatment and natural products,10.2147/dmso.s281186,exclude,exclude,exclude,Review or non-original article
1206,Scopus,Damiano S.,2019,A red orange and lemon by-products extract rich in anthocyanins inhibits the progression of diabetic nephropathy,10.1002/jcp.28893,exclude,exclude,exclude,Animal or in vitro study
1207,Scopus,Middha S.K.,2013,A Review on antihyperglycemic and antihepatoprotective activity of eco-friendly punica granatum peel waste,10.1155/2013/656172,exclude,exclude,exclude,Review or non-original article
1208,Scopus,Ahmed A.A.,2021,Cosmos caudatus: A possible drug candidate for oral squamous cell carcinoma,10.2174/1573407216999200911120311,exclude,exclude,exclude,Review or non-original article
1209,Scopus,Sultana S.,2017,Medicinal plants combating against hypertension: A green antihypertensive approach,,exclude,exclude,exclude,Review or non-original article
1210,Scopus,Migliaccio S.,2021,What is the best diet for cardiovascular wellness? A comparison of different nutritional models,10.1038/s41367-020-0018-0,exclude,exclude,exclude,Review or non-original article
1211,Scopus,Gahlawat I.N.,2019,Emerging new insights into significance and applications of Plant Pigments,,exclude,exclude,exclude,Review or non-original article
1212,Scopus,Gillespie S.,2013,Phytochemicals: Countering risk factors and pathological responses associated with ischaemia reperfusion injury,10.1016/j.pharmthera.2012.12.005,exclude,exclude,exclude,Review or non-original article
1213,Scopus,Gökçe A.F.,2012,Onion breeding program in Turkey,10.17660/actahortic.2012.969.9,exclude,exclude,exclude,Review or non-original article
1214,Scopus,Todorov D.,2014,Antiviral potential of Bulgarian medicinal plants,10.1007/s11101-014-9357-1,exclude,exclude,exclude,Review or non-original article
1215,Scopus,Luan F.,2019,"Ethnomedicinal uses, phytochemistry, pharmacology, and toxicology of species from the genus ajuga L.: A systematic review",10.1142/s0192415x19500502,exclude,exclude,exclude,Review or non-original article
1216,Scopus,Blahova J.,2021,Pharmaceutical drugs and natural therapeutic products for the treatment of type 2 diabetes mellitus,10.3390/ph14080806,exclude,exclude,exclude,Review or non-original article
1217,Scopus,Kianbakht S.,2019,"Antihypertensive efficacy and safety of Vaccinium arctostaphylos berry extract in overweight/obese hypertensive patients: A randomized, double-blind and placebo-controlled clinical trial",10.1016/j.ctim.2019.05.010,include,include,include,
1218,Scopus,Santana L.F.,2019,Nutraceutical potential of carica papaya in metabolic syndrome,10.3390/nu11071608,exclude,exclude,exclude,Review or non-original article
1219,Scopus,Figueredo K.C.,2018,Safety assessment of Morus nigra L. leaves: Acute and subacute oral toxicity studies in Wistar rats,10.1016/j.jep.2018.05.013,exclude,exclude,exclude,Animal or in vitro study
1220,Scopus,Willems M.E.T.,2014,Effect of New Zealand Sujon blackcurrant on resting cardiovascular function in triathletes,10.1186/1550-2783-11-s1-p3,exclude,include,include,Other reason not meeting eligibility criteria
